code,name,principal_id,category,eceran,unit_1,unit_2,unit_3,ratio_unit_2_per_unit_1,ratio_unit_3_per_unit_2,availability_default,spec_technical
390093,SIMBA SEREAL 2 IN 1 CKLT (60x22g)/GT,SIMBA,CEREAL,CUP-E02K,KRT,PCS,,60,1,OPEN,
380020,SIMBA CHOCO CHIPS JAR (6x220g)/GT,SIMBA,CEREAL,CCJ-E22K,KRT,PCS,,6,1,OPEN,
390095,SIMBA CHOCO CHIPS JAR 6 x 220g GT,SIMBA,CEREAL,CCJ-E30K,KRT,PCS,,6,1,OPEN,
390054,SIMBA CHOCO CHIPS STW 24gr (5pcs x 8bal)/GT,SIMBA,CEREAL,CCR-E02K,KRT,BOX,PCS,8,5,OPEN,
390098,SIMBA CHOCO CHIPS STW 24gr (10pcs x 6rcg)/GT,SIMBA,CEREAL,CCR-E02K,KRT,BOX,PCS,6,10,OPEN,
390088,SIMBA CHOCO CHIPS STW 12g (10pcs x 6rcg)/GT,SIMBA,CEREAL,CCR-E01K,KRT,BOX,PCS,6,10,OPEN,
390094,SIMBA SEREAL 2 IN 1 STRW (60x22g)/GT,SIMBA,CEREAL,CUP-E02K,KRT,PCS,,60,1,OPEN,
380035,SIMBA CHOCO PILLOW (8X5X26GR),SIMBA,CEREAL,PLW-E02K,KRT,BOX,PCS,8,5,OPEN,
380005,SIMBA CHOCO RILLAS REG 16x10x6g,SIMBA,CEREAL,CRR-E01K,KRT,BOX,PCS,16,10,OPEN,
308965,SIMBA RICHEESE PILLOW (8X5X26GR),SIMBA,CEREAL,PLW-E02K,KRT,BOX,PCS,8,5,OPEN,
380030,SIMBA CEREAL BAR (8X12X25G)/GT,SIMBA,CEREAL,CCB-E02K,KRT,BOX,PCS,8,12,OPEN,
380025,SIMBA TARO CHIPS 30g RASA UBI (40x30g)/GT,SIMBA,CEREAL,STC-E02K,KRT,PCS,,40,1,OPEN,
381001,SIIP POP CARAMEL 35g (8x5 pcs),SIMBA,SIMBA SNACKS,POP-C02K,KRT,BOX,PCS,8,5,OPEN,
304164,SIIP KRIMCHO 26gr GT(10pcsx6rcg),KSNI,SNACKS,SIP-KRIM,KRT,BOX,PCS,6,10,OPEN,
304045,SIIP KRIMCHE 26gr GT(10pcsx6rcg),KSNI,SNACKS,SIP-KRIM,KRT,BOX,PCS,6,10,OPEN,
390046,HELLO PANDA CHOCO 8g (12bal x 10pcs),MEIJI,BISCUITS,HLP-E01K,KRT,BOX,PCS,12,10,OPEN,
390047,HELLO PANDA STRAWBERRY 8g (12bal x 10pcs),MEIJI,BISCUITS,HLP-E01K,KRT,BOX,PCS,12,10,OPEN,
390048,HELLO PANDA COKIESS & CREAM 8g (12bal x 10pcs),MEIJI,BISCUITS,HLP-E01K,KRT,BOX,PCS,12,10,OPEN,
390049,HELLO PANDA MILK 8g (12bal x 10pcs),MEIJI,BISCUITS,HLP-E01K,KRT,BOX,PCS,12,10,OPEN,
390050,HELLO PANDA DOUBLE CHOCO 8g (12bal x 10pcs),MEIJI,BISCUITS,HLP-E01K,KRT,BOX,PCS,12,10,OPEN,
390068,HELLO PANDA AUTOLAND 22g GT (6bal x 10pcs),MEIJI,BISCUITS,HLP-E02K,KRT,BOX,PCS,6,10,OPEN,
390090,HELLO PANDA CARAMEL 8g (12bal x 10pcs),MEIJI,BISCUITS,HLP-E01K,KRT,BOX,PCS,12,10,OPEN,
303831,NEXTAR NASTAR PNL 27GR GT (13pcs x 8ib),KSNI,BISCUITS,NXT-E02K,KRT,BOX,PCS,13,8,OPEN,
303182,NEXTAR BROWNIES CHO 27g GT (13pcs x 8ib),KSNI,BISCUITS,NXT-E02K,KRT,BOX,PCS,8,13,OPEN,
